Datum,Spiel
2018-04-01,Auswärtsspiel
2018-04-07,Heimspiel
2018-04-14,Auswärtsspiel
2018-04-23,Heimspiel
2018-04-29,Auswärtsspiel
2018-05-06,Auswärtsspiel
2018-05-13,Heimspiel
2018-05-17,Auswärtsspiel
2018-05-21,Heimspiel
2018-07-07,Heimspiel
2018-07-19,Heimspiel
2018-08-03,Auswärtsspiel
2018-08-12,Heimspiel
2018-08-19,Auswärtsspiel
2018-08-26,Auswärtsspiel
2018-09-03,Heimspiel
2018-09-15,Auswärtsspiel
2018-09-22,Heimspiel
2018-09-25,Auswärtsspiel
2018-09-28,Heimspiel
2018-10-06,Auswärtsspiel
2018-10-11,Heimspiel
2018-10-20,Heimspiel
2018-10-28,Auswärtsspiel
2018-10-31,Heimspiel
2018-11-03,Heimspiel
2018-11-09,Auswärtsspiel
2018-11-24,Heimspiel
2018-12-02,Auswärtsspiel
2018-12-09,Auswärtsspiel
2018-12-14,Heimspiel
2018-12-23,Heimspiel
2019-01-07,Heimspiel
2019-01-22,Heimspiel
2019-01-30,Auswärtsspiel
2019-02-03,Heimspiel
2019-02-06,Heimspiel
2019-02-10,Auswärtsspiel
2019-02-17,Heimspiel
2019-02-23,Auswärtsspiel
2019-03-01,Heimspiel
2019-03-09,Auswärtsspiel
2019-03-15,Heimspiel
2019-03-21,Auswärtsspiel
2019-03-31,Auswärtsspiel
2019-04-06,Heimspiel
2019-04-14,Auswärtsspiel
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-20,Heimspiel
2019-04-21,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-27,Auswärtsspiel
2019-04-28,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,
2019-05-05,Heimspiel
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,Heimspiel
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,Auswärtsspiel
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-08,
2019-06-09,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,Auswärtsspiel
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,Auswärtsspiel
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,Auswärtsspiel
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,Auswärtsspiel
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,Auswärtsspiel
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,Heimspiel
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,Heimspiel
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
