Datum,Handballspiel
27/09/2018,Heimspiel
30/09/2018,Heimspiel
07/10/2018,Auswärtsspiel
11/10/2018,Heimspiel
13/10/2018,Auswärtsspiel
21/10/2018,Heimspiel
04/11/2018,Auswärtsspiel
11/11/2018,Heimspiel
15/11/2018,Auswärtsspiel
22/11/2018,Heimspiel
02/12/2018,Auswärtsspiel
06/12/2018,Heimspiel
22/12/2018,Auswärtsspiel
27/12/2018,Heimspiel
07/02/2019,Auswärtsspiel
17/02/2019,Heimspiel
21/02/2019,Auswärtsspiel
28/02/2019,Auswärtsspiel
14/03/2019,Heimspiel
21/03/2019,Auswärtsspiel
28/03/2019,Heimspiel
18/04/2019,Auswärtsspiel
28/04/2019,Heimspiel
04/05/2019,Auswärtsspiel
09/05/2019,Auswärtsspiel
12/05/2019,Heimspiel
26/05/2019,Heimspiel
29/05/2019,Auswärtsspiel
09/06/2019,Heimspiel
