Epoch,Training Loss,Validation Loss
1,36985.828125,11854.755859375
2,8650.6025390625,6557.3837890625
3,5107.69873046875,4666.3125
4,4307.43994140625,4149.34033203125
5,3915.491943359375,4364.677734375
6,3533.192626953125,3983.019287109375
7,3511.80859375,4657.35546875
8,3207.437744140625,4706.1298828125
9,3190.736328125,6072.6484375
10,2908.289306640625,4564.2919921875
11,2869.3642578125,4575.53759765625
12,2863.21728515625,4977.74560546875
13,2756.3037109375,4359.85986328125
14,2498.0615234375,5007.93896484375
15,2556.28662109375,4874.46435546875
16,2425.9521484375,4379.39013671875
17,2479.635498046875,4873.94287109375
18,2455.853271484375,5418.10400390625
19,2306.6748046875,4900.2314453125
20,2217.682373046875,4207.24560546875
21,2205.302978515625,4112.74072265625
22,2091.039794921875,4680.650390625
23,2148.37158203125,4534.4658203125
24,2137.10107421875,4802.52392578125
25,1891.43798828125,3815.791259765625
26,1942.70947265625,4913.5625
27,1860.863525390625,4943.18017578125
28,1842.793701171875,4367.13623046875
29,1685.6092529296875,4709.88037109375
30,1814.951904296875,4551.0546875
31,1842.6842041015625,4591.2421875
32,1602.7532958984375,4505.837890625
33,1456.748046875,4920.6396484375
34,1490.3209228515625,4562.85498046875
35,1557.5452880859375,4951.59521484375
36,1433.079345703125,4624.38232421875
37,1500.404052734375,5522.16796875
38,1352.3560791015625,4861.68896484375
39,1243.6968994140625,3528.46435546875
40,1325.5794677734375,3717.06640625
41,1263.4967041015625,3249.191650390625
42,1175.0069580078125,4102.67724609375
43,1204.584716796875,3301.8095703125
44,1178.264404296875,5219.18505859375
45,1236.0625,4575.42041015625
46,1133.9818115234375,3931.9677734375
47,1276.6075439453125,3272.48779296875
48,1172.2021484375,3401.165283203125
49,1197.8619384765625,4023.41650390625
50,1140.331787109375,3873.241455078125
51,1087.92333984375,4222.9150390625
52,1072.4248046875,3710.633544921875
53,1111.915771484375,2819.64404296875
54,1110.1976318359375,2928.083251953125
55,1051.5894775390625,5039.96630859375
56,1218.1807861328125,2609.0302734375
57,1074.712158203125,3577.146240234375
58,1032.650390625,2258.9365234375
59,1035.580078125,4019.8603515625
60,1012.7278442382812,3190.649169921875
61,1038.0386962890625,3217.146728515625
62,963.4451293945312,3319.484130859375
63,1014.2727661132812,4570.537109375
64,1118.63623046875,2832.6201171875
65,947.2684936523438,3919.512451171875
66,1062.842041015625,3079.20849609375
67,976.0234985351562,2835.70068359375
68,878.1649780273438,3061.298095703125
69,1031.61669921875,2962.63330078125
70,962.9954833984375,2135.284423828125
71,901.5670166015625,2380.412841796875
72,881.3892211914062,2589.41796875
73,907.930419921875,2377.49853515625
74,880.0484619140625,3141.824951171875
75,877.5276489257812,2759.709228515625
76,853.4920654296875,2759.98095703125
77,897.2999877929688,2097.561279296875
78,894.921630859375,2381.75537109375
79,847.65625,3152.35595703125
80,900.0756225585938,2642.185546875
81,865.5676879882812,2540.8525390625
82,842.565673828125,2633.68505859375
83,894.2355346679688,2969.75537109375
84,1030.9654541015625,2297.8828125
85,833.4942626953125,3178.818115234375
86,818.250244140625,2241.68798828125
87,833.7835693359375,2977.699462890625
88,805.4161376953125,2493.9521484375
89,916.822265625,3499.40380859375
90,810.4882202148438,2237.136962890625
91,773.3640747070312,2506.36181640625
92,844.9786376953125,2426.451171875
93,794.2412109375,2725.51416015625
94,816.4757690429688,2548.237060546875
95,882.7720336914062,3050.903564453125
96,865.988525390625,2520.374755859375
97,756.934326171875,2151.66552734375
98,835.3800048828125,2722.8388671875
99,777.0947875976562,2875.87255859375
100,792.7188110351562,2309.988525390625
101,797.303955078125,2682.349365234375
102,762.1864013671875,3252.832763671875
103,815.1203002929688,2419.81396484375
104,734.3988647460938,2616.150390625
105,815.6800537109375,2054.898193359375
106,799.4432373046875,2385.526611328125
107,829.9490966796875,2375.147216796875
108,745.0104370117188,2241.38232421875
109,775.07373046875,2289.029296875
110,764.4057006835938,3163.14404296875
111,796.79638671875,2852.180908203125
112,793.8406372070312,2184.981201171875
113,773.3032836914062,2741.80419921875
114,700.5346069335938,2202.038330078125
115,692.9073486328125,2637.32763671875
116,765.9886474609375,2804.204345703125
117,760.2706909179688,2238.322021484375
118,697.6297607421875,2785.257080078125
119,720.8121948242188,2129.811767578125
120,724.79052734375,2651.443115234375
121,669.1987915039062,2079.919189453125
122,688.9915161132812,2447.882568359375
123,725.2398071289062,2069.297607421875
124,727.3717041015625,2275.032470703125
125,665.03955078125,1964.9283447265625
126,672.4204711914062,2767.987548828125
127,709.759765625,2588.6748046875
128,710.5186157226562,2285.57177734375
129,651.1256103515625,2099.77490234375
130,667.64501953125,2260.65966796875
131,681.6755981445312,3033.75390625
132,688.1463012695312,2894.404052734375
133,676.4508666992188,2662.833984375
134,649.7868041992188,2438.747802734375
135,707.02392578125,2141.550537109375
136,707.069091796875,2665.25341796875
137,666.0962524414062,2692.412841796875
138,671.8881225585938,2104.63134765625
139,647.3244018554688,2874.011474609375
140,677.5052490234375,2731.5341796875
141,614.3553466796875,2645.897705078125
142,639.9290161132812,2215.56396484375
143,615.2909545898438,2031.548828125
144,637.123779296875,2622.420166015625
145,622.3720092773438,2591.978271484375
146,650.4313354492188,2406.207763671875
147,658.6524658203125,2220.31640625
148,688.941162109375,2139.143798828125
149,696.810302734375,2215.307861328125
150,664.636962890625,2550.807373046875
151,671.0565795898438,2500.611328125
152,658.3558959960938,2427.84228515625
153,627.5137329101562,2216.2509765625
154,627.7684936523438,2476.2333984375
155,651.5744018554688,2584.442138671875
156,619.2684936523438,2394.460693359375
