Date,Count
31.03.12,1
07.04.12,1
14.04.12,1
21.04.12,1
28.04.12,2
02.05.12,1
03.05.12,1
05.05.12,2
06.05.12,1
07.05.12,2
10.05.12,1
12.05.12,2
14.05.12,1
15.05.12,2
17.05.12,1
19.05.12,3
20.05.12,1
22.05.12,1
23.05.12,1
24.05.12,1
25.05.12,1
26.05.12,3
30.05.12,1
02.06.12,2
03.06.12,2
04.06.12,2
05.06.12,1
07.06.12,1
09.06.12,2
15.06.12,1
16.06.12,1
17.06.12,3
19.06.12,1
20.06.12,1
22.06.12,3
23.06.12,3
24.06.12,1
26.06.12,1
29.06.12,1
30.06.12,1
01.07.12,2
02.07.12,1
03.07.12,1
05.07.12,1
07.07.12,1
08.07.12,1
09.07.12,1
10.07.12,2
13.07.12,1
14.07.12,1
15.07.12,1
20.07.12,1
21.07.12,2
22.07.12,1
23.07.12,2
24.07.12,1
27.07.12,2
28.07.12,1
29.07.12,1
02.08.12,1
04.08.12,2
05.08.12,1
07.08.12,2
10.08.12,1
11.08.12,1
12.08.12,2
13.08.12,1
14.08.12,2
16.08.12,1
17.08.12,1
18.08.12,1
19.09.12,1
21.09.12,1
22.08.12,1
24.08.12,2
25.08.12,1
26.08.12,2
27.08.12,2
28.08.12,1
31.08.12,2
01.09.12,2
02.09.12,1
03.09.12,2
04.09.12,2
05.09.12,1
08.09.12,3
09.09.12,1
14.09.12,2
15.09.12,1
16.09.12,1
22.09.12,1
29.09.12,1
06.10.12,1
09.10.12,1
02.12.12,1
15.12.12,1
05.07.20,0
13.04.13,1
17.04.13,1
20.04.13,1
23.04.13,1
24.04.13,1
25.04.13,1
27.04.13,1
28.04.13,1
30.04.13,1
01.05.13,2
04.05.13,1
05.05.13,2
07.05.13,1
10.05.13,2
11.05.13,2
13.05.13,1
16.05.13,1
18.05.13,2
19.05.13,1
23.05.13,1
25.05.13,2
26.05.13,1
28.05.13,1
29.05.13,2
30.05.13,1
31.05.13,1
01.06.13,2
02.06.13,1
03.06.13,2
04.06.13,1
08.06.13,3
09.06.13,3
12.06.13,1
13.06.13,1
15.06.13,3
16.06.13,2
19.06.13,1
20.06.13,1
22.06.13,1
23.06.13,1
24.06.13,1
27.06.13,1
28.06.13,2
29.06.13,4
30.06.13,2
02.07.13,1
04.07.13,1
06.07.13,1
07.07.13,1
09.07.13,3
11.07.13,1
13.07.13,2
14.07.13,2
17.07.13,1
18.07.13,1
19.07.13,2
20.07.13,1
21.07.13,2
22.07.13,2
24.07.13,1
27.07.13,1
28.07.13,1
